cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,63.925448028673834
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,56.229166666666664
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,68.19791666666667
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,54.97727272727273
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,61.074074074074076
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,50.666666666666664
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,51.834256183093395
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,44.75833333333333
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,45.43589743589744
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,40.583333333333336
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,40.93809523809524
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,37.327777777777776
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,61.42857142857142
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,54.513888888888886
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,65.60000000000001
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,53.294696969696965
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,59.68627450980392
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,49.791666666666664
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,51.93333333333334
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,45.083333333333336
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,46.13944444444445
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,41.15740740740741
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,41.816287878787875
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,37.84444444444444
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,58.45000000000001
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,52.151515151515156
